编号,葡萄酒英文名,葡萄酒中文名,官方网站,类型(Red Wine红葡萄酒/White Wine白葡萄酒/Rose Wine粉红葡萄酒/Sparking Wine起泡酒/Port Wine波特酒/Sherry Wine雪利酒/Fortified Wine加强酒/Sweet Wine甜酒/Others其它),产区（France/Bordeaux/Haut-Médoc/Margaux）,产区（法国/波尔多/上梅多克/玛歌）,酒庄英文名,酒庄中文名,年份,适饮年份（2001-2002）,酒精度,葡萄品种／含量,容量,评分
391,Château Palmer,宝玛酒庄/庞马/宝马/帕玛,www.chateau-palmer.com/,红葡萄酒,France/Bordeaux/Haut-Médoc/Margaux,法国/波尔多/上梅多克/玛歌,Château Palmer,宝玛酒庄/庞马/宝马/帕玛,1981,,,"Cabernet Sauvignon/54%
Merlot/37%
Cabernet Franc/2%
Petit Verdot/7%",750,
392,Château Palmer,宝玛酒庄/庞马/宝马/帕玛,www.chateau-palmer.com/,红葡萄酒,France/Bordeaux/Haut-Médoc/Margaux,法国/波尔多/上梅多克/玛歌,Château Palmer,宝玛酒庄/庞马/宝马/帕玛,1975,,,"Cabernet Sauvignon/47%
Merlot/40%
Cabernet Franc/5%
Petit Verdot/8%",750,
393,Château Pontet-Canet,庞特卡内酒庄/宝得根/庞特卡奈/旁迪-卡内,www.pontet-canet.com/,红葡萄酒,France/Bordeaux/Haut-Médoc/Pauillac,法国/波尔多/上梅多克/波亚克,Château Pontet-Canet,庞特卡内酒庄/宝得根/庞特卡奈/旁迪-卡内,2010,,,"Cabernet Sauvignon/65%
Merlot/30%
Cabernet Franc/4%
Petit Verdot/1%",750,
394,Château Pontet-Canet,庞特卡内酒庄/宝得根/庞特卡奈/旁迪-卡内,www.pontet-canet.com/,红葡萄酒,France/Bordeaux/Haut-Médoc/Pauillac,法国/波尔多/上梅多克/波亚克,Château Pontet-Canet,庞特卡内酒庄/宝得根/庞特卡奈/旁迪-卡内,2009,,,"Cabernet Sauvignon/65%
Merlot/30%
Cabernet Franc/4%
Petit Verdot/1%",750,
395,Château Batailley,八达液酒庄/巴特利,www.batailley.com/,红葡萄酒,France/Bordeaux/Haut-Médoc/Pauillac,法国/波尔多/上梅多克/波亚克,Château Batailley,八达液酒庄/巴特利,2010,,,"Cabernet Sauvignon/78%
Merlot/19%
Petit Verdot/2%
Cabernet Franc/1%",750,
396,Château Batailley,八达液酒庄/巴特利,www.batailley.com/,红葡萄酒,France/Bordeaux/Haut-Médoc/Pauillac,法国/波尔多/上梅多克/波亚克,Château Batailley,八达液酒庄/巴特利,2009,,,"Cabernet Sauvignon/74%
Merlot/22%
Cabernet Franc/2%
Petit Verdot/2%",750,
397,Château Haut-Batailley,奥巴特利酒庄,www.chateau-grand-puy-lacoste.com/,红葡萄酒,France/Bordeaux/Haut-Médoc/Pauillac,法国/波尔多/上梅多克/波亚克,Château Haut-Batailley,奥巴特利酒庄,2009,,,"Cabernet Sauvignon/78%
Merlot/20%
Cabernet Franc/2%",750,
398,Château Grand-Puy-Lacoste,乐古思酒庄/拉古斯/拉克斯特/拉科斯,www.chateau-grand-puy-lacoste.com/,红葡萄酒,France/Bordeaux/Haut-Médoc/Pauillac,法国/波尔多/上梅多克/波亚克,Château Grand-Puy-Lacoste,乐古思酒庄/拉古斯/拉克斯特/拉科斯,2010,,,"Cabernet Sauvignon/83%
Merlot/17%",750,
399,Château Grand-Puy-Lacoste,乐古思酒庄/拉古斯/拉克斯特/拉科斯,www.chateau-grand-puy-lacoste.com/,红葡萄酒,France/Bordeaux/Haut-Médoc/Pauillac,法国/波尔多/上梅多克/波亚克,Château Grand-Puy-Lacoste,乐古思酒庄/拉古斯/拉克斯特/拉科斯,2009,,,"Cabernet Sauvignon/80%
Merlot/18%
Cabernet Franc/2%",750,
400,Château Grand-Puy-Ducasse,杜卡斯酒庄/都卡斯,http://www.cagrandscrus.com/,红葡萄酒,France/Bordeaux/Haut-Médoc/Pauillac,法国/波尔多/上梅多克/波亚克,Château Grand-Puy-Ducasse,杜卡斯酒庄/都卡斯,2010,,,"Cabernet Sauvignon/60%
Merlot/40%",750,
