Pignola Valtellinese,Red,
Pignolo,Red,
Pineau d'Aunis,Red,
Pinot Meunier,Red,莫尼耶品乐
Schwarzriesling,Red,
Müllerebe,Red,
Pinot St. George,Red,
Plassa,Red,
Plavac Mali,Red,
Plavina,Red,
Pollera Nera,Red,
Portan,Red,
Portugieser,Red,
Prieto Picudo,Red,
Primitivo,Red,
Prokupac,Red,
Provechon,Red,
Raboso,Red,
Ramisco,Red,
Refosco,Red,
Refošk,Red,
Roesler,Red,
Rossese,Red,
Rossignola,Red,
Rossola Nera,Red,
Rotberger,Red,
Rouchet,Red,
Ruché,Red,
Roche,Red,
Rubired,Red,
Ruby Cabernet,Red,
Rufete,Red,
Tinta Pinheira,Red,
Tinta Carvalha,Red,
Rufeta,Red,
Sagrantino,Red,
Saperavi,Red,
Schiava,Red,
Trollinger,Red,
Schioppettino,Red,
Schönburger,Red,
Sciacarello,Red,
Sciascinoso,Red,
Segalin,Red,
Ségalin,Red,
Servanin,Red,
Sgaretta,Red,
Shiroka Melnishka Losa,Red,
Melnik,Red,
Sousão,Red,
Sousón,Red,
St-Macaire,Red,
Sumoll,Red,
Susumaiello,Red,
Taminga,Red,
Tarrango,Red,
Tazzelenghe,Red,
Teroldego,Red,
Teroldego Rotaliano,Red,
Thiniatiko,Red,
Tinta Amarela,Red,
Tinta Caiada,Red,
Tinta Carvalha,Red,
Tinta Francisca,Red,
Tinta Madeira,Red,
Tinta Miuda,Red,
Tinta Pinheira,Red,
Tinto Cão,Red,
Touriga Franca,Red,
Touriga Francesa,Red,
Touriga Nacional,Red,
Azal Espanhol,Red,
Preto de Mortágua,Red,
Trevisana Nera,Red,
Trincadeira,Red,
Castelão,Red,
Torneiro,Red,
Troia,Red,
Uva di Troia,Red,
Trollinger,Red,
Trousseau,Red,
Turca,Red,
Uva di Troia,Red,
Uva Rara,Red,
Vaccarese,Red,
Vaccarèse,Red,
Valdiguié,Red,
Vespolina,Red,
Vien de Nus,Red,
Volidza,Red,
Vranac,Red,
Xynomavro,Red,
Aidani,White,
Aidini,White,
Aedani,White,
Alarije,White,
Alarijen,White,
Albalonga,White,
Albana,White,
Albarello,White,
Albarola,White,
Alcañón,White,
Altesse,White,
Roussette,White,
Amigne,White,
Ansonica,White,
Inzolia,White,
Aragnan Blanc,White,
Arbois,White,
Arinto,White,
Arneis,White,
Arnsburger,White,
Arrufiac,White,
Arrufiat,White,
Ruffiac,White,
Arvine,White,
Asprinio Bianco,White,
Assario Branco,White,
Assyrtiko,White,
Assyrtico,White,
Athiri,White,
Aubin,White,
Auxerrois Blanc,White,
Avesso,White,
Azal,White,
Bacchus,White,
Baco Blanc,White,
Baiyu,White,
Rkatsiteli,White,
Banat Riesling,White,
Banat Rizling,White,
Barcelo,White,
Baroque,White,
Belina,White,
Benedino,White,
Biancame,White,
Bianchello,White,
Bianchetta Trevigiana,White,
Bianchetti Genovese,White,
Bianco d'Alessano,White,
Biancolella,White,
Biancone,White,
Blanc de Morgex,White,
Boais,White,
Bogdanuša,White,
Bombino Bianco,White,
Borba Blanca,White,
Borrado das Moscas,White,
Bosco,White,
Bouvier,White,
Breidecker,White,
Budai Zöld,White,
Bukettraube,White,
Buonamico,White,
Burger,White,
Monbadon,White,
Camaralet,White,
Carica l'Asino,White,
Carignan blanc,White,
Catarratto,White,
Cayetana,White,
Calagraño,White,
Cerceal,White,
Cereza,White,
Chasan,White,
Chasselas,White,
Fendant,White,
Gutedel,White,
Chenel,White,
Claret de Gers,White,
Claret de Gascogne,White,
Claverie,White,
Cococciola,White,
Cocur,White,
Coda di Volpe,White,
Codega,White,
Roupeiro,White,
Completer,White,
Courbu,White,
Xuri Zerratua,White,
Bordelesa Zuri,White,
Crato,White,
Crato Bianco,White,
Crouchen,White,
Clare Riesling,White,
Cape Riesling,White,
Cserszegi Fűszeres,White,
Cygne blanc,White,
Dattier,White,
Debina,White,
Diagalves,White,
Dimiat,White,
Dinka,White,
Dona blanca,White,
Doradillo,White,
Drupeggio,White,
Durella,White,
Ehrenfelser,White,
Elbling,White,
Emerald Riesling,White,
Emir Karasi,White,
Encruzado,White,
Erbaluce,White,
Esgana Cão,White,
Esagna,White,
Sercial,White,
Esquitxagos,White,
Ezerjó,White,
Faber,White,
Faberrebe,White,
False Pedro,White,
Pedro Luis,White,
Cañocazo,White,
Favorita,White,
Favorita,White,
Ferral,White,
Fetească Albă,White,
Fetiaska,White,
Leànyka,White,
Fetească Regală,White,
Fié,White,
Fiét,White,
Fié gris,White,
Findling,White,
Flora,White,
Folle Blanche,White,
Gros Plant,White,
Piquepoult,White,
Fologosão,White,
Francavida,White,
Francusa,White,
Freisamer,White,
Freiburger,White,
Friulano,White,
Tocai Friulano,White,
Fromenteau,White,
Frontignan,White,
Furmint,White,
Mosler,White,
Sipon,White,
Galego Dourado,White,
Garrido,White,
Gellewza,White,
Gloria,White,
Godello,White,
Goldburger,White,
Goldriesling,White,
Gouais blanc,White,
Gouveio,White,
Graisse,White,
Plant de Graisse,White,
Grasa,White,
Grasă de Cotnari,White,
Grecanico,White,
Greco,White,
Green Hungarian,White,
Grenache Gris,White,
Grignolino,White,
Grillo,White,
Grk Bijeli,White,
Grolleau gris,White,
Gros Manseng,White,
Izkiriota Handi,White,
Guardavalle,White,
Guarnaccia Bianca,White,
Gutenborner,White,
Hárslevelű,White,
Hondarrabi Zuri,White,
Humagne,White,
Huxelrebe,White,
Weisser Gutedel,White,
Courtillier Musqué,White,
Incrocio Manzoni,White,
Irsai Oliver,White,
Irsay Oliver,White,
Irsai Olivér,White,
Italia,White,
Izsáki Sarfehér,White,
Izsáki,White,
Jacquère,White,
Jaén blanca,White,
Jampal,White,
Juhfark,White,
Juwel,White,
Kanzler,White,
Karija l'Osü,White,
Keknyelu,White,
Kéknyelű,White,
Kerner,White,
Knipperle,White,
Klein Rauschling,,
Kövérszőlő,White,
Krstač,White,
Kujundžuša,White,
Ladikino,White,
Lado,White,
Lagorthi,White,
Lauzet,White,
Len de l'El,White,
Len de l'Elh,White,
Loureira,White,
Lumassina,White,
Maceratino,White,
Madeleine Angevine,White,
Majarcă Albă,White,
Malagousia,White,
Malagoussia,White,
Malvar,White,
Malvoisie,White,
Manteudo,White,
Mantonico Bianco,White,
Mauzac,White,
Merseguera,White,
Escanyavella,White,
Meslier St-François,White,
Mezesfehér,White,
Miousap,White,
Misket,White,
Molette,White,
Moll,White,
Montu,White,
Morio-Muskat,White,
Moscatel de Austria,White,
Moscatel Rosada,White,
Moschofilero,White,
Moscophilero,White,
Mtsvane,White,
Müller-Thurgau,White,
Rivaner,White,
Muscadelle,White,
Muscat Blanc,White,
Muscat Frontignan,White,
Muskateller,White,
Moscatel Branco,White,
Muscat Ottonel,White,
Nasco,White,
Neherleschol,White,
Neuburger,White,
Nobling,White,
Nosiola,White,
Nuragus,White,
Ondenc,White,
Optima,White,
Orion,White,
Ortega,White,
Ortrugo,White,
Oz,White,
Pagedebit,White,
Pampanuto,White,
Pampanino,White,
Parč,White,
Pardillo,White,
Pardina,White,
Parellada,White,
Pascal Blanc,White,
Passerina,White,
Pecorello,White,
Pecorino,White,
Pedro Giménez,White,
Perle,White,
Petit Courbu,White,
Petit Manseng,White,
Izkiriota Ttipi,White,
Petit Meslier,White,
Petite Arvine,White,
Picardin,White,
Picolit,White,
Piccolit,White,
Piccolito,White,
Picpoul,White,
Pigato,White,
Pignerol,White,
Pignooletto,White,
Pinella,White,
Pinot Blanc,White,白皮诺
Pinot Bianco,White,白皮诺
Klevner,White,
Weissburgunder,White,
Pinot Jaune,White,
Szürkebarát,White,
Planta Fina,White,
Planta Nova,White,
Plavai,White,
Pošip,White,
Prosecco,White,
Prunesta,White,
Rabigato,White,
Rabo de Ovelha,White,
Raisin Blanc,White,
Rauschling,White,
Rāuschling,White,
Regner,White,
Reichensteiner,White,
Rèze,White,
Rhoditis,White,
Roditis,,
Rieslaner,White,
Rkatsiteli,White,
Roditis,White,
Rhoditis,,
Rollo,White,
Romorantin,White,
Roter Veltliner,White,
Rotgipfler,White,
Sabro,White,
Sacy,White,
Sarfeher,White,
Sárfehér,White,
Sauvignon Vert,White,
Sauvignonasse,White,
Savagnin,White,
Savagnin Blanc,White,
Savatiano,White,
Schönburger,White,
Septiner,White,
Sercial,White,
Cerceal,White,
Esgana Cao,White,
Sereksia,White,
Sideritis,White,
Siegerrebe,White,
Smederevka,White,
Spagnol,White,
Spätrot,White,
Zierfandler,White,
St-Pierre Doré,White,
Ste Marie,White,
Sultana,White,
Symphony,White,
Tamarêz,White,
Tamares,White,
Crato Branco,White,
Tamîioasa,White,
Tămîioasă Românească,White,
Tamianka,White,
Taminga,White,
Téoulier,White,
Terrantez,White,
Terret gris,White,
Timorasso,White,
Tourbat,White,
Torbato,White,
Traminer,White,
Tramini,White,
Traminac,White,
Trbljan,White,
Treixadura,White,
Trajadura,White,
Tresallier,White,
Trousseau Gris,White,
Grey Riesling,White,
Tsaoussi,White,
Tsolikauri,White,
Verdea,White,
Verdeca,White,
Verdejo,White,
Verdelho,White,
Gouveio,White,
Godello,White,
Verdello,White,
Verdesse,White,
Verdicchio,White,
Verdil,White,
Verdosilla,White,
Verdiso,White,
Verdia,White,
Verdoncho,White,
Verduzzo,White,
Verduzzo Trevigiano,White,
Vermentino,White,
Rolle,White,
Vernaccia,White,
Veroga,White,
Vespaiola,White,
Vilana,White,
Vinhao,White,
Viosinho,White,
Vital (grape),White,
Vitovska,White,
Vugava,White,
Weldra,White,
Welschriesling,White,
Riesling Italico,White,
Olaszrizling,White,
Lazki Rizling,White,
Graševina,White,
Würzer,White,
Xarel·lo,White,
Xarello,White,
Xynisteri,White,
Zala Gyöngye,White,
Zalema,White,
Zefir,White,
Zenit,White,
Zéta,White,
Orémus,White,
Zeusz,White,
Zierfandler,White,
Žilavka,White,
Žlahtina,White,
